"","","","","","",""
"Event ID","LGA","Start Date","Start Time","Customers Interrupted","Ave Dur. (min)","Reason"
"2033350","WARRINGAH","1/10/2023","1:10 AM","1405","144","Environmental"
"2033374","LEICHHARDT","1/10/2023","10:10 AM","68","432","Equipment fault"
"2033405","HORNSBY","1/10/2023","16:10 PM","57","220","Environmental"
"2033433","LAKE MACQUARIE","1/10/2023","16:10 PM","500","96","Environmental"
"2033482","SUTHERLAND","1/10/2023","21:10 PM","60","124","Environmental"
"2033497","HURSTVILLE","1/10/2023","22:10 PM","218","203","Environmental"
"2033501","CANTERBURY","1/10/2023","22:10 PM","1135","112","Environmental"
"2033519","BANKSTOWN","1/10/2023","23:10 PM","979","111","Environmental"
"2033540","SUTHERLAND","1/10/2023","23:10 PM","59","852","Environmental"
"2033511","LEICHHARDT","1/10/2023","23:10 PM","100","57","Environmental"
"2033550","NEWCASTLE","2/10/2023","5:10 AM","77","29","Equipment fault"
"2033598","HORNSBY","2/10/2023","11:10 AM","78","393","Environmental"
"2033674","SINGLETON","2/10/2023","20:10 PM","348","40","Equipment fault"
"2033678","GOSFORD","2/10/2023","20:10 PM","97","179","Equipment fault"
"2033689","ASHFIELD","3/10/2023","2:10 AM","1575","138","Equipment fault"
"2033864","LAKE MACQUARIE","3/10/2023","20:10 PM","1341","34","Environmental"
"2033942","CESSNOCK","3/10/2023","22:10 PM","66","605","Equipment fault"
"2033876","LAKE MACQUARIE","4/10/2023","5:10 AM","338","430","Equipment fault"
"2033905","BANKSTOWN","4/10/2023","7:10 AM","1052","136","Environmental"
"2034111","SINGLETON","4/10/2023","19:10 PM","280","159","Environmental"
"2034109","NEWCASTLE","4/10/2023","20:10 PM","147","681","Third party"
"2034133","WYONG","4/10/2023","20:10 PM","81","619","Environmental"
"2034135","WYONG","4/10/2023","20:10 PM","1365","104","Environmental"
"2034140","LAKE MACQUARIE","4/10/2023","21:10 PM","1223","55","Environmental"
"2034143","WILLOUGHBY","4/10/2023","22:10 PM","2774","57","Environmental"
